2011-01-27	Killing	1	0	Uganda	Kampala	Ugandan gay rights campaigner David Kato was murdered after Uganda's Rolling Stone magazine published an article calling for him to be hanged.[42]			
2011-01-31	Shooting	16	56	Somalia	 Mogadishu	Somali governmental troops and local police exchanged fire in a shoot-out, with many civilians getting caught in the crossfire, within the Somali capital city of Mogadishu.[48]	Transitional Federal Government		
2011-01-19	Armed assault	4	1	Russia	Kabardino-Balkaria	 4 Russian tourists from Moscow were ambushed and killed on a Ski lift that was heading up to Elbrus Mountain.[67]	Caucasus Emirate		
2011-01-21	Armed assault	3	6	Senegal	Carongue	 Rebels killed three soldiers and wounded six others in Senegal's troubled Casamance region. Two of the injured are reported to be in serious condition. The government has been battling a low-level insurgency since the 1980s.[72]	Movement of Democratic Forces of Casamance		
2011-01-23	Ambush	10	2	Ivory Coast	Abidjan	Unidentified rebels ambushed four army vehicles, killing all of the occupants, in the major city of Abdigan, which acts as the economical capital of the Ivory Coast.[74]	Forces Nouvelles de Côte d'Ivoire		
2011-01-26	Suicide bombing	1	0	Russia	Moscow	An unidentified individual blew himself up with a grenade outside a supermarket, killing only himself, in an unknown motivational attack, within the north-eastern sectors of Russia's capital city of Moscow.[81]			
2011-03-02	Shooting	2	2	Germany	Frankfurt	A Kosovon was arrested for shooting two US Air Force personnel at Frankfurt's airport. Manfred Fuellhardt, the Frankfurt police spokesman, said one of the dead was a bus driver and the other was a passenger and that one of the wounded personnel was in serious conditions. Chancellor Angela Merkel condemned the "terrible incident" and pledged to carry out a full investigation.[86]	Lone wolf		
2011-03-03	Bombing	13	11	Nigeria	Abuja	A bomb attack struck a political rally that was based near to a market in Sulega, which is located some 40 km from Nigeria's capital city of Abuja.[91] President Goodluck Jonathan reacted with vows that the perpetrators would not be punished. One person had been arrested.[92]			
2011-03-03	Bomb	0	0	Madagascar	Antananarivo 	President Andry Rajoelina escaped an assassination attempt after a bomb exploded by his car. His aide de camp Lieutenant Colonel Fidimalala Rafaliarison said that the bomb occurred after on the president's daily route home where the presidential convoy usually slows down and that there was no damage to the armour-plated car that the president sits in. He said an investigative team then go to the side and found a 150 metre long wire and explosive material hidden in the grass on the side of the road. Prime Minister Camille Vital said that "Given the political context, it could be have been a political assassination attempt. It could be intimidation. In any case, investigations will show what really happened."[95]			
2011-03-09	Bombing	0	0	Russia	Moscow 	A bomb explosion occurred at a bus stop on Michurinsky Avenue, which is located near to Russia's FSB national anti-terrorist committee in south-eastern Moscow. No casualties were reported at the scene of this bombing, however nearby vehicles and the bus stop were damaged as a result of this bombing.[104]	Caucasus Emirate		
