2002-02-21	9	30	Peru	Lima	At least nine people were killed and 30 injured by a powerful car bomb which went off near the United States embassy in Lima.
2002-04-07	12	70	Colombia	Villavicencio	Two bombs explode in the restaurant district of Villavicencio, killing twelve and injuring 70. FARC is the prime suspect for the attack.[4]	 	
2002-04-14	2	20	Colombia	Barranquilla	During an assassination attempt of then-presidential candidate Álvaro Uribe Vélez a bomb kills two and injures 20 in Barranquilla. Rebel group FARC is blamed.	 	
2002-04-19	3	10	Colombia	Cartagena	Two bombs, allegedly placed by FARC kill three and injure ten near Cartagena.	 	
2002-05-02	119	98	Colombia	Colombia	Bojayá massacre: FARC launches a mortar bomb against a church during combats with AUC, killing at least 117 civilians, 48 of them children in what is known as the Bojayá massacre. Delayed response from the authorities make it impossible to establish a final count, as most of the dead were buried before they could be accounted for.	 	
2002-05-03	0	6	United States	Midwest US	Luke Helder injures 6 by placing pipebombs in mailboxes in the Midwest. Motivation to protest government control over daily lives and the illegality of marijuana and promotion of astral projection.	 	
2002-07-28	0	0	Colombia Cali	Colombia	A carbomb partially destroys government buildings in Cali. FARC is blamed for the attack. No casualties.	 	
2002-07-07	0	6	Colombia	Bogotá, Colombia	Three round of mortars are fired against an Army base in Bogotá, injuring six. FARC is blamed for the attack.[6]	 	
2002-07-07	13	50	Colombia	Bogotá, Colombia	Four rounds of mortars are fired against the Presidential Palace in Bogotá during the inauguration ceremony of President Álvaro Uribe Vélez. 13 people, mostly homeless, die and 50 are wounded when some of the rounds hit slums in downtown Bogotá. FARC is blamed.[6]	 	
2002-07-09	130	150	India	Rafiganj	A train derailment kills 130 people in the Rafiganj rail disaster. Naxalite (Communist guerrilla groups in India) terrorism is suspected.	 	
2002-10-11	6	166	Finland	Myyrmanni, Finland	Myyrmanni bombing: A bomb explosion kills 7 people including the perpetrator and wounds 166 people at Myyrmanni shopping mall.	 	
2002-10-22	3	11	Colombia	Bogotá	A bomb kills three and wounds at least eleven in Bogotá. No claims are made for the attack.[7]	 	
2002-10-30	1	3	South Africa	Soweto	2002 Soweto bombings: Eight bombings across Soweto target a mosque, the Nan Hua Temple as well as railways and petrol stations across the city. One woman is killed and her husband and two other people were injured. A group calling itself "Warriors of the Boer Nation" claimed responsibility.	 	
2002-11-19	0	0	Colombia	Cúcuta, Colombia	Police deactivate a bomb left by ELN members in front of newspaper La Opinión in Cúcuta.[8]	 	
2002-12-09	0	50	Colombia	Western Bogotá, Colombia	A car bomb injures 50 in western Bogotá. Authorities blame FARC.	 	
2002-12-13	0	30	Colombia	Downtown Bogotá, Colombia	A package bomb injures 32 on the 30th floor of the Intercontinental Hotel in downtown Bogotá. No groups claim responsibility.[9]	 	
2002-12-17	1	20	Colombia	Colombia	A bomb blast kills one and injures 20 in Neiva. The bomb was placed outside the building of the National Telecommunications Company, Telecom Colombia. Authorities suspect FARC is responsible for the attack.[9]	 	
2003-02-07	36	200	Colombia	El Nogal	Club bombing: A car bomb blew up in the parking garage of an elite club in Bogota.	FARC	
2003-03-05	6	68	Colombia	Cúcuta	A car bomb kills six and injures 68 in a covered parking lot in Cúcuta. Rebel group ELN is blamed for the attack.[2]	ELN	
2003-08-10	3	0	United States	West Virginia	sniper: Three people were killed in a series of sniper shootings in West Virginia. Eight years after the shootings, a suspect named Shawn Lester was arrested and was eventually convicted and sentenced to 46 years in prison for the shootings.	Shawn Lester	
2003-08-24	6	28	Colombia	Puerto Rico	Six die and 28 are wounded when a bomb explodes in a riverboat in the town of Puerto Rico. Rebel group FARC is blamed.[7]	FARC	
2003-09-11	8	15	Colombia	Chita	A bomb strapped to a horse kills eight and injures 15 in the village of Chita. The attack is blamed on FARC, as the same technique had been used in the past.[8]	FARC	
2003-09-29	10	54	Colombia	Caquetá	A motorcycle packed with explosives kills ten and injures 54 in downtown Florencia, capital of Caquetá. Rebel group FARC is blamed.[9]	FARC	
2003-10-08	6	11	Colombia	Bogotá	A car bomb kills six and injures eleven in downtown Bogotá. FARC is blamed.[10]	FARC	
2003-12-08	2	0	United States	Abbeville	Two police officers are killed in 14-hour shootout and standoff with three self-proclaimed "sovereign citizens" in Abbeville, South Carolina.	Arthur, Rita and Steven Bixby	
2004-01-15	1	0	Colombia	Puerto Guzman	Luis Alberto Campos, a municipal councilor in Puerto Guzman, was murdered. Campos was dragged from his house and killed by a group who claimed to be from the 32nd Revolutionary Armed Forces of Columbia (FARC) front. This is the first politician elected at the local level to be murdered this year.	FARC	
2004-01-16	3	5	Nepal	Dharann.	Three people were killed and five injured when rebels of the Communist Party of Nepal-Maoists (CPN-M) planted a bomb in a bus headed for Dharan township. The device detonated as the bus was being stopped at a security checkpoint. One police officer, the bus driver and a passenger were killed.	Communist Party of Nepal-Maoists	
2004-02-12	6	13	Nepal	Kabhre District.	Maoist rebels from the Communist Party of Nepal-Maoists (CPN-M) hurled bombs at a passenger bus killing at least six people. The bus was carrying civilians as well as some soldiers to the Kabhre district.	Communist Party of Nepal-Maoists	
2004-02-21	5	17	Republic of Ireland	Dublin	Five people died and 17 were injured when Ulster Loyalists bombed a bus in central Dublin.	Ulster Loyalists	
2004-03-01	1	2	Sri Lanka	Batticola District.	A United National Party candidate for the Batticola District in an upcoming election was gunned down yesterday in the first polls-related killing. The Liberation Tigers of Tamil Eelam (LTTE) is suspected in the attack; the candidate resisted an earlier warning from the group. Unidentified gunmen had attempted to shoot him Sunday night. A niece and nephew living in the same house were also attacked.	Tigers of Tamil Eelam (LTTE)	
2004-03-08	0	2	Israel	Jerusalem.	Dozens of ultra-Orthodox Jews attacked Arab taxi drivers with rocks in the Me'a Sharim neighborhood of Jerusalem. One driver was wounded and his car was damaged. The second driver was lightly hurt and sent to hospital.	ultra-Orthodox Jews	
2004-04-03	1	2	Nepal	Dhading District.	An office employee was killed and other injured when a bomb went off at the District Education Office in Dhading district. The Communist Party of Nepal-Maoists (CPN-M) is responsible for the attack.	The Communist Party of Nepal-Maoists (CPN-M)	
2004-04-22	6	82	Colombia	Bogota.	A bomb exploded in a crowded tavern/discothèque at 11:00 pm Saturday night killing six (some reports indicate seven) and wounding eighty-two. The bomb was packed in a small suitcase and left in the bathroom by suspected Revolutionary Armed Forces of Colombia (FARC) rebels. It is believed the bombing is part of a FARC campaign marking the organizations 40th anniversary.	FARC	
2004-04-27	1	2	Nepal	Annapur.	Maoists, believed members of the Communist Party of Nepal-Maoists (CPN-M) killed a newspaper delivery driver who defied the latest guerrilla anti-government strike. A homemade bomb was thrown at the driver who was delivering the Annapur Post. Two other passengers were injured. The CPN-M had demanded that all traffic stay off the roads in the western Himalayan kingdom as a series of strikes leading up to a three-day nationwide shutdown were taking place.	Communist Party of Nepal-Maoists	
2004-06-08	0	23	India	Assam.	Twenty-three were injured when suspected United Liberation Front of Assam (ULFA) militants threw a grenade into a crowded cinema hall during a town screening of a Hindi movie. The police say that the attacks may be connected to a ULFA call for the banning of Hindi movies last year. The group opposes the state film industry and is believed to have been responsible for explosions at other cinemas in Assam.	Front of Assam (ULFA)	
2004-06-08	0	6	Italy	Bologna.	An explosive device, made of a bottle full of inflammable liquid, a detonator and a timer, detonated at a political rally in Bologna, which featured National Alliance party leader Gianfranco Fini. The device exploded in the middle of Fini's speech, injuring six people, but causing no major damage. The bomb had been hidden inside an election vehicle on the side of the stage and only the detonator managed to explode.	Anarchists	
2004-06-15	34	0	Colombia	La Gabarra.	Presumed Revolutionary Armed Forces of Colombia (FARC) guerillas killed thirty-four farm workers in La Gabarra. Reports indicate that the workers were coca growers which led to different ideas about the motivation on the massacre. Some believe that it was caused by an ongoing battle between different armed groups over the control of coca productions and thus economic interests. Others speculate that the attack was a destabilizing act aimed at provoking an AUC reaction and thus sabotaging the peace process.	FARC	
2004-06-24	5	15	India	Assam.	Five passengers on a minibus were killed when United Liberation Front of Assam (ULFA) militants triggered a time bomb. Fifteen others were injured in the blast.	 	
2004-07-02	5	24	Turkey	Van.	A remote-detonated explosive device exploded in Blue Plaza on Ordu Boulevard in Van as Hikmet Tan, the governor of Van was passing through with his convoy. Five people were killed and twenty-four other injured by the blast. Hikmet was uninjured by the bomb. A Kurdish organization calling itself the Kurdistan Freedom Hawks (TAK) claimed responsibility for this assassination attempt. In their claim of responsibility, the group writes, "we will speak in a language that the Turkish state will understand and we will develop our revolutionary resistance struggle in a more radical manner in the face of the unjust and ugly policy that is currently being pursued by the Turkish state.".	Kurdistan Freedom Hawks (TAK)	
2004-07-02	1	1	Nepal	Pokhara.	Members of the Communists Party of Nepal-Maoists (CPN-M) shot the mayor of Pokhara, a major tourist town. Mayor Harkha Gurung was driving through a crowded market place on his way to work, when a pedestrian stopped to shake his hand. When the mayor stopped to talk to the person, they shot him in the face at close range. Two other Maoists rush forward and also opened fire, on the mayor who received five bullet wounds to the head and chest. The mayor's driver was injured in the attack.	Communist Party of Nepal-Maoists	
2004-08-26	5	43	India	Assam	Two blasts on bus transportation links killed five people and injured 43 in insurgent racked Assam province.	Front of Assam (ULFA)	
2004-09-04	4	14	Colombia	Colombia	Hooded gunmen opened fire on a congregation inside a church located near Colombia's border with Ecuador. Four parishioners were killed and fourteen wounded in the attack. Army officials believe the Revolutionary Armed Forces of Columbia (FARC) carried out the attack because the church had spoken out against the FARC's forced recruitment of local youth. It was reported the Protestant pastors in the region had preciously received death threats.	FARC	
2004-10-02	13	23	India	Assam	In Assam militants exploded a bomb that killed thirteen people and injured twenty-three. The National Democratic Front of Bodoland (NDFB) is believed to be responsible for the attack. The intended target of the attack is unclear.	Front of Assam (ULFA)	
2004-10-02	10	40	India	Assam	A second bomb blast occurred at the busy Hong Kong market, almost simultaneously with the railway blast in Assam. The bomb killed ten people and injured at least forty others. The two blasts are thought to have been coordinated.	Front of Assam (ULFA)	
2004-10-02	12	60	India	Assam	Twelve people were killed and at least sixty others injured in a bomb blasts targeting a rail line in Assam. The first occurred at the Dimapur railway station, and resulted in the deaths of all twelve people. The platform was packed with people waiting to board a train to Assam's Karbi district.	Front of Assam (ULFA)	
2004-10-03	3	25	India	Kashmir	The National Democratic Front of Bodoland (NDFB) bombed a market in Dhubri District, killing three and wounding twenty-five people. No further information is provided.	Front of Assam (ULFA)	
2004-11-29	2	2	Colombia	Bogota.	A bomb exploded near a bus stop along Bogotá's Transmilenio bus system route. A taxi passing by was caught in the blast resulting in the death of the driver and a passenger. Two other passengers were also injured. The explosion damaged about 30 houses in the area. The chief of police believes the attack was aimed at the bus stop but did not comment on the motive of the attack or who was responsible for it. The Transmilenio system has been the target of at least three attacks.	Unknown	
2004-11-28	1	6	Colombia	Bogota	A bomb exploded beside the mayor's office in the Rafael Uribe district of Bogotá on Sunday evening. Initial reports indicated the Revolutionary Armed Forces of Colombia (FARC) were involved. The only fatality was the person who was carrying the bomb. Those injured where passengers in a bus traveling by when the explosion took place. Otherwise the explosion damaged the building and broke the windows of the bus.	Unknown	
2004-11-30	3	8	Colombia	Bogota	Three people were killed and eight wounded when a fragment grenade was left at a supermarket checkout counter. It is believed that the National Liberation Army (ELN) is behind the attack which was carried out in retaliation for the recent capture of one of their chiefs. A man who left the bomb quickly fled through the back exit.	Unknown	
2004-12-14	2	8	India	Assam	Two explosions occurred near the Assam Assembly building. The attacks were carried out by the United Liberation Front of Assam (ULFA). Two persons were killed and eight injured. Authorities believe that the group carried out these attacks to mark the completion of a year of the Bhutan operations that have "evicted the ULFA from the Himalayan kingdom."[1]	United Liberation Front of Assam (ULFA)	
2005-04-07	11	162	Myanmar	Yangon	May 2005 Yangon Bombings: Two supermarkets are bombed nearly simultaneously.	Karen National Union (suspected)	Internal conflict in Myanmar
2005-06-06	45	71	Nepal	Badarmude, Nepal	Badarmude bus explosion: A bomb was detonated near a bus while is passing across a bridge, causing the bridge collapse.	Communist Party of Nepal (suspected)	Nepalese Civil War
2005-06-16	5	14	Turkey	Kuşadası	A bomb exploded on a minibus carrying people to a beach	PKK (suspected)	Kurdish–Turkish conflict
2005-08-15	2	0	Sri Lanka	Sri Lanka	Lakshman Kadirgamar, the foreign minister of Sri Lanka and an ethnic Tamil was shot by an alleged LTTE sniper.	LTTE	Sri Lankan Civil War
